#id	Piratapuyo	Barasano	Desano	Koreguahe	Siona	Kubeo	Sekoya	Wanano	Tanimuka	Tuyuka	Tukano	Maihiki	Karapan	Kueretu	Yupua	Prototucanoan
23-cheek-129	?	w a j u	w a ˀj u	w a j o	w a j o	w ɨ o	w a j o	w a ˀs u	?	w a s o p u	w a ˀs u	b a j o	w a s o	?	?	w a j o
86-name-130	?	w̃ ã m ẽ	w̃ ã ĩ	m a m i	m a m i	ã m ĩ	m a m i	w̃ ã m ã	w̃ ã m ẽ	w̃ ã m ẽ	w̃ ã m ẽ	m a m i	w̃ ã m ẽ	?	?	w ã m i
85-mythicalbeing-131	?	w ã t i	w ã t i	w a tʰ i	w a t i	ã tʃ ĩ	w a t i	w ã t i	w ã t i	?	w ã t i	ã i	w ã t i	?	?	w ã tː i
43-fish-132	?	w a i	w a ʔ i	w a ʔ i	w a ʔ i	w a w i	w a ʔ i	w a ʔ i	w a ʔ i	w a i	w a ʔ i	b a i	?	w a i	?	w a ʔ i
114-tapir-133	?	w e k ɨ	w e k ɨ	w e kʰ ɨ	w e k ɨ	w e k ɨ	w ẽ k ɨ	w a tʃ ɨ	?	w e k ɨ	w e k ɨ	b e k ɨ	?	w e k ɨ	?	w e kː ɨ
93-parrot-134	?	w e k o	w e k o	w e k o	w e k o	w e k o	w e k o	w a tʃ o	?	w e k o	w e k o	b e k o	w e k o	?	?	w e kː o
50-garden-135	?	w e ts e	w e s e	w e ˀs e	?	?	w e ˀs e	w e s e	?	w e s e	w e s e	b e s e	?	?	?	w e s e
10-blackink-136	?	w e i	?	?	?	w e i	?	?	?	?	?	?	?	?	?	w e ʔ e
68-jenipapo-136	?	?	?	w e ʔ e	?	?	?	?	?	?	?	?	?	?	?	?
138-wind-137	?	m ĩ n õ	m ĩ n ũ	?	?	?	?	w ĩ n õ	w ĩ ɾ õ	w ĩ n õ	w ĩ n õ	?	w̃ ĩ n õ	?	w í/i n e	w ĩ n o
62-house-138	?	w i	w i ʔ i	w ɨ ʔ e	w ɨ ʔ e	w ɨ e	w ɨ ʔ e	w ɨ ʔ ɨ	w i ʔ i	w i i	w i ʔ i	u e	w i i	w ɨ ɾ i	?	w ɨ ʔ e
118-thunder-139	?	b ɨ h o	b u p u	?	m ɨ h o	õ p õ	m o h o	w ɨ p o	a w ĩ ɸ o	b ɨ p o	b ɨ p o	m ɨ h a	?	m ɨ ˀh o	?	w ɨ̃ p o
2-agouti-140	?	b u u	b u i	w ɨ ɨ	w ɨ	b u ɨ	w ɨ	b u u	b u i	?	b u u	?	b u u	?	?	w u ɨ
110-stone-141	k ɨ̃ t ã	ŋ ɨ̃ t ã	ɨ̃ t ã	k a tʰ a	kˀ a t a	?	k ɨ n a	?	ã t a	ɨ̃ t ã	ɨ̃ t ã	?	ɨ̃ t ã	?	ɡ ɨ ɾ ɨ	kˀ ɨ̃ t a
