ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Prototucanoan-78-man-1,,Prototucanoan,78-man,*ɨmɨ,ɨ.m.ɨ,ɨ m ɨ,,Chacon2014,,,^ ɨ . m . ɨ $,default
Barasano-101-pupunha-1,,Barasano,101-pupunha,~ɨde,ɨ̃.n.ẽ,ɨ̃ n ẽ,,Chacon2014,,,^ ɨ̃ . n . ẽ $,default
Desano-101-pupunha-1,,Desano,101-pupunha,~ɨdi,ɨ̃.n.ĩ,ɨ̃ n ĩ,,Chacon2014,,,^ ɨ̃ . n . ĩ $,default
Karapan-101-pupunha-1,,Karapan,101-pupunha,~ɨde,ɨ̃.n.ẽ,ɨ̃ n ẽ,,Chacon2014,,,^ ɨ̃ . n . ẽ $,default
Koreguahe-101-pupunha-1,,Koreguahe,101-pupunha,ɨne,ɨ.n.e,ɨ n e,,Chacon2014,,,^ ɨ . n . e $,default
Kubeo-101-pupunha-1,,Kubeo,101-pupunha,~ɨde,ɨ̃.n.ẽ,ɨ̃ n ẽ,,Chacon2014,,,^ ɨ̃ . n . ẽ $,default
Kueretu-101-pupunha-1,,Kueretu,101-pupunha,ɨʔne,ɨ.ʔn.e,ɨ ˀn e,,Chacon2014,,,^ ɨ . ʔn . e $,default
Piratapuyo-101-pupunha-1,,Piratapuyo,101-pupunha,~ɨde,ɨ̃.n.ẽ,ɨ̃ n ẽ,,Chacon2014,,,^ ɨ̃ . n . ẽ $,default
Siona-101-pupunha-1,,Siona,101-pupunha,ɨne,ɨ.n.e,ɨ n e,,Chacon2014,,,^ ɨ . n . e $,default
Tanimuka-101-pupunha-1,,Tanimuka,101-pupunha,~ire,ĩ.r.ẽ,ĩ ɾ ẽ,,Chacon2014,,,^ ĩ . r . ẽ $,default
Tukano-101-pupunha-1,,Tukano,101-pupunha,~ɨde,ɨ̃.n.ẽ,ɨ̃ n ẽ,,Chacon2014,,,^ ɨ̃ . n . ẽ $,default
Wanano-101-pupunha-1,,Wanano,101-pupunha,~ɨde,ɨ̃.n.ẽ,ɨ̃ n ẽ,,Chacon2014,,,^ ɨ̃ . n . ẽ $,default
Prototucanoan-101-pupunha-1,,Prototucanoan,101-pupunha,*ɨne,ɨ.n.e,ɨ n e,,Chacon2014,,,^ ɨ . n . e $,default
Barasano-117-three-1,,Barasano,117-three,idia,i.d.i.a,i d i a,,Chacon2014,,,^ i . d . i . a $,default
Desano-117-three-1,,Desano,117-three,ɨʔde,ɨ.ʔd.e,ɨ ˀd e,,Chacon2014,,,^ ɨ . ʔd . e $,default
Kueretu-117-three-1,,Kueretu,117-three,itia,i.t.i.a,i t i a,,Chacon2014,,,^ i . t . i . a $,default
Tukano-117-three-1,,Tukano,117-three,iʔtia,i.ʔt.i.a,i ˀt i a,,Chacon2014,,,^ i . ʔt . i . a $,default
Tuyuka-117-three-1,,Tuyuka,117-three,itia,i.t.i.a,i t i a,,Chacon2014,,,^ i . t . i . a $,default
Wanano-117-three-1,,Wanano,117-three,tia,t.i.a,t i a,,Chacon2014,,,^ t . i . a $,default
Prototucanoan-117-three-1,,Prototucanoan,117-three,*ɨtʔia,ɨ.tʔ.i.a,ɨ tˀ i a,,Chacon2014,,,^ ɨ . tʔ . i . a $,default
Barasano-53-grape-1,,Barasano,53-grape,ɨje,ɨ.j.e,ɨ j e,,Chacon2014,,,^ ɨ . j . e $,default
Desano-53-grape-1,,Desano,53-grape,igi,i.g.i,i g i,,Chacon2014,,,^ i . g . i $,default
Karapan-53-grape-1,,Karapan,53-grape,ɨse,ɨ.s.e,ɨ s e,,Chacon2014,,,^ ɨ . s . e $,default
Koreguahe-53-grape-1,,Koreguahe,53-grape,ɨje,ɨ.j.e,ɨ j e,,Chacon2014,,,^ ɨ . j . e $,default
Kubeo-53-grape-1,,Kubeo,53-grape,ɨ́jai,ɨ́.j.a.i,ɨ j a i,,Chacon2014,,,^ ɨ́ . j . a . i $,default
Maihiki-53-grape-1,,Maihiki,53-grape,ede,e.d.e,e d e,,Chacon2014,,,^ e . d . e $,default
Siona-53-grape-1,,Siona,53-grape,ɨje,ɨ.j.e,ɨ j e,,Chacon2014,,,^ ɨ . j . e $,default
Tukano-53-grape-1,,Tukano,53-grape,ɨʔse,ɨ.ʔs.e,ɨ ˀs e,,Chacon2014,,,^ ɨ . ʔs . e $,default
Tuyuka-53-grape-1,,Tuyuka,53-grape,ɨse,ɨ.s.e,ɨ s e,,Chacon2014,,,^ ɨ . s . e $,default
Wanano-53-grape-1,,Wanano,53-grape,se,s.e,s e,,Chacon2014,,,^ s . e $,default
